soup,reviews,waiter,meats,minutes,crab,decor,cocktail,hours,money,sauce,spoon,staff,potatoes,flavors,mimosas,salmon,cream,salads,area,friends,way,count
3.0,7.0,3.0,4.0,7.0,6.0,0.0,1.0,6.0,7.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,69.0
1.0,10.0,2.0,1.0,2.0,6.0,1.0,2.0,4.0,6.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,94.0
0.0,6.0,1.0,2.0,9.0,7.0,5.0,2.0,7.0,6.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,5.0,7.0,122.0
3.0,9.0,1.0,2.0,5.0,10.0,5.0,1.0,5.0,8.0,2.0,6.0,4.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,5.0,4.0,175.0
2.0,5.0,2.0,3.0,4.0,6.0,3.0,1.0,7.0,5.0,2.0,9.0,4.0,1.0,2.0,5.0,3.0,2.0,4.0,6.0,4.0,11.0,150.0
